titulo,Autor,,,categoria,Disponibilidad
Yo no vengo a decir un discurso,Gabriel García Márquez,$15.500,img/yo_no_vengo_a_decir_un_discurso.png,Desarrollo Personal,Disponible
El Alquimista,Paulo Coelho,$11.500,img/el_alquimista.png,Desarrollo Personal,Disponible
Brida,Paulo Coelho,$15.000,img/brida.png,Desarrollo Personal,Disponible
Once minutos,Paulo Coelho,$14.500,img/once_minutos.png,Desarrollo Personal,Disponible
Veronika decide morir,Paulo Coelho,$15.000,img/veronika_decide_morir.png,Historia y Ciencia,Disponible
El peregrino de Compostela,Paulo Coelho,$16.000,img/el_peregrino_de_compostela.png,Historia y Ciencia,Disponible
La bruja de Portobello,Paulo Coelho,$11.500,img/la_bruja_de_portobello.png,Literatura Clásica,Disponible
Aleph,Paulo Coelho,$13.000,img/aleph.png,Literatura Hispana,Disponible
Adulterio,Paulo Coelho,$14.000,img/adulterio.png,Literatura Hispana,Disponible
El Zahir,Paulo Coelho,$13.000,img/el_zahir.png,Literatura Hispana,Disponible
Manuscrito encontrado en Accra,Paulo Coelho,$16.000,img/manuscrito_encontrado_en_accra.png,Literatura Hispana,Disponible
Ficciones,Jorge Luis Borges,$16.000,img/ficciones.png,Literatura Hispana,Disponible
El Aleph,Jorge Luis Borges,$14.000,img/el_aleph.png,Literatura Hispana,Disponible
El libro de arena,Jorge Luis Borges,$11.000,img/el_libro_de_arena.png,Literatura Hispana,Disponible
Historia universal de la infamia,Jorge Luis Borges,$13.000,img/historia_universal_de_la_infamia.png,Literatura Hispana,Disponible
El informe de Brodie,Jorge Luis Borges,$14.000,img/el_informe_de_brodie.png,Literatura Hispana,Disponible
Otras inquisiciones,Jorge Luis Borges,$14.000,img/otras_inquisiciones.png,Literatura Hispana,Disponible
El hacedor,Jorge Luis Borges,$14.500,img/el_hacedor.png,Literatura Hispana,Disponible
Elogio de la sombra,Jorge Luis Borges,$11.000,img/elogio_de_la_sombra.png,Literatura Hispana,Disponible
La casa de los espíritus,Isabel Allende,$14.500,img/la_casa_de_los_espíritus.png,Literatura Hispana,Disponible
De amor y de sombra,Isabel Allende,$13.500,img/de_amor_y_de_sombra.png,Literatura Hispana,Disponible
Eva Luna,Isabel Allende,$13.000,img/eva_luna.png,Literatura Hispana,Disponible
Cuentos de Eva Luna,Isabel Allende,$16.000,img/cuentos_de_eva_luna.png,Literatura Hispana,Disponible
Paula,Isabel Allende,$14.500,img/paula.png,Literatura Hispana,Disponible
Hija de la fortuna,Isabel Allende,$11.000,img/hija_de_la_fortuna.png,Literatura Hispana,Disponible
Retrato en sepia,Isabel Allende,$14.500,img/retrato_en_sepia.png,Literatura Hispana,Disponible
La ciudad de las bestias,Isabel Allende,$17.500,img/la_ciudad_de_las_bestias.png,Literatura Hispana,Disponible
El cuaderno de Maya,Isabel Allende,$15.000,img/el_cuaderno_de_maya.png,Ficción y Aventura,Disponible
Más allá del invierno,Isabel Allende,$14.500,img/más_allá_del_invierno.png,Ficción y Aventura,Disponible
La ciudad y los perros,Mario Vargas Llosa,$14.000,img/la_ciudad_y_los_perros.png,Ficción y Aventura,Disponible
La casa verde,Mario Vargas Llosa,$15.500,img/la_casa_verde.png,Literatura Hispana,Disponible
Conversación en La Catedral,Mario Vargas Llosa,$18.000,img/conversación_en_la_catedral.png,Literatura Hispana,Disponible
La tía Julia y el escribidor,Mario Vargas Llosa,$15.000,img/la_tía_julia_y_el_escribidor.png,Literatura Hispana,Disponible
La guerra del fin del mundo,Mario Vargas Llosa,$11.500,img/la_guerra_del_fin_del_mundo.png,Literatura Hispana,Disponible
La fiesta del Chivo,Mario Vargas Llosa,$14.000,img/la_fiesta_del_chivo.png,Literatura Hispana,Disponible
Travesuras de la niña mala,Mario Vargas Llosa,$12.500,img/travesuras_de_la_niña_mala.png,Literatura Hispana,Disponible
Pantaleón y las visitadoras,Mario Vargas Llosa,$14.500,img/pantaleón_y_las_visitadoras.png,Literatura Hispana,Disponible
Lituma en los Andes,Mario Vargas Llosa,$13.500,img/lituma_en_los_andes.png,Literatura Hispana,Disponible
El héroe discreto,Mario Vargas Llosa,$13.500,img/el_héroe_discreto.png,Literatura Hispana,Disponible
Rayuela,Julio Cortázar,$15.500,img/rayuela.png,Literatura Hispana,Disponible
Bestiario,Julio Cortázar,$15.000,img/bestiario.png,Literatura Hispana,Disponible
Final del juego,Julio Cortázar,$14.000,img/final_del_juego.png,Literatura Hispana,Disponible
Las armas secretas,Julio Cortázar,$17.000,img/las_armas_secretas.png,Literatura Hispana,Disponible
Historias de cronopios y de famas,Julio Cortázar,$14.000,img/historias_de_cronopios_y_de_famas.png,Literatura Hispana,Disponible
Todos los fuegos el fuego,Julio Cortázar,$13.000,img/todos_los_fuegos_el_fuego.png,Literatura Hispana,Disponible
62/Modelo para armar,Julio Cortázar,$12.000,img/62/modelo_para_armar.png,Literatura Hispana,Disponible
Libro de Manuel,Julio Cortázar,$14.000,img/libro_de_manuel.png,Literatura Hispana,Disponible
It (Eso),Stephen King,$14.000,img/it_(eso).png,Literatura Hispana,Disponible
El resplandor,Stephen King,$12.500,img/el_resplandor.png,Literatura Hispana,Disponible
Carrie,Stephen King,$11.000,img/carrie.png,Literatura Hispana,Disponible
Misery,Stephen King,$13.000,img/misery.png,Terror y Suspenso,Disponible
Cementerio de animales,Stephen King,$13.000,img/cementerio_de_animales.png,Terror y Suspenso,Disponible
La torre oscura: El pistolero,Stephen King,$14.500,img/la_torre_oscura:_el_pistolero.png,Terror y Suspenso,Disponible
La torre oscura: La invocación,Stephen King,$11.500,img/la_torre_oscura:_la_invocación.png,Terror y Suspenso,Disponible
La torre oscura: Las tierras baldías,Stephen King,$13.000,img/la_torre_oscura:_las_tierras_baldías.png,Terror y Suspenso,Disponible
22/11/63,Stephen King,$15.000,img/22/11/63.png,Terror y Suspenso,Disponible
El misterio de Salem's Lot,Stephen King,$14.500,img/el_misterio_de_salem's_lot.png,Terror y Suspenso,Disponible
La cúpula,Stephen King,$16.000,img/la_cúpula.png,Terror y Suspenso,Disponible
Doctor Sueño,Stephen King,$15.500,img/doctor_sueño.png,Terror y Suspenso,Disponible
Mr. Mercedes,Stephen King,$16.000,img/mr._mercedes.png,Terror y Suspenso,Disponible
La milla verde,Stephen King,$14.500,img/la_milla_verde.png,Terror y Suspenso,Disponible
Cujo,Stephen King,$13.000,img/cujo.png,Terror y Suspenso,Disponible
El código Da Vinci,Dan Brown,$13.500,img/el_código_da_vinci.png,Misterio y Thriller,Disponible
Ángeles y demonios,Dan Brown,$12.500,img/ángeles_y_demonios.png,Misterio y Thriller,Disponible
Inferno,Dan Brown,$13.000,img/inferno.png,Misterio y Thriller,Disponible
El símbolo perdido,Dan Brown,$14.000,img/el_símbolo_perdido.png,Misterio y Thriller,Disponible
Origen,Dan Brown,$14.500,img/origen.png,Misterio y Thriller,Disponible
La fortaleza digital,Dan Brown,$12.000,img/la_fortaleza_digital.png,Misterio y Thriller,Disponible
El Señor de los Anillos: La Comunidad del Anillo,J.R.R. Tolkien,$15.000,img/el_señor_de_los_anillos:_la_comunidad_del_anillo.png,Fantasía Épica,Disponible
El Señor de los Anillos: Las Dos Torres,J.R.R. Tolkien,$14.500,img/el_señor_de_los_anillos:_las_dos_torres.png,Fantasía Épica,Disponible
El Señor de los Anillos: El Retorno del Rey,J.R.R. Tolkien,$16.000,img/el_señor_de_los_anillos:_el_retorno_del_rey.png,Fantasía Épica,Disponible
El Hobbit,J.R.R. Tolkien,$14.000,img/el_hobbit.png,Fantasía Épica,Disponible
El Silmarillion,J.R.R. Tolkien,$14.500,img/el_silmarillion.png,Fantasía Épica,Disponible
Cuentos inconclusos,J.R.R. Tolkien,$17.000,img/cuentos_inconclusos.png,Fantasía Épica,Disponible
Los hijos de Húrin,J.R.R. Tolkien,$15.000,img/los_hijos_de_húrin.png,Fantasía Épica,Disponible
La caída de Gondolin,J.R.R. Tolkien,$16.500,img/la_caída_de_gondolin.png,Fantasía Épica,Disponible
1984,George Orwell,$15.000,img/1984.png,Ficción Distópica,Disponible
Rebelión en la granja,George Orwell,$15.000,img/rebelión_en_la_granja.png,Ficción Distópica,Disponible
Homenaje a Cataluña,George Orwell,$13.500,img/homenaje_a_cataluña.png,Literatura Clásica,Disponible
Sin blanca en París y Londres,George Orwell,$18.000,img/sin_blanca_en_parís_y_londres.png,Literatura Clásica,Disponible
Los días de Birmania,George Orwell,$12.500,img/los_días_de_birmania.png,Literatura Clásica,Disponible
Asesinato en el Orient Express,Agatha Christie,$12.500,img/asesinato_en_el_orient_express.png,Policiaco y Misterio,Disponible
Diez negritos,Agatha Christie,$13.500,img/diez_negritos.png,Policiaco y Misterio,Disponible
El asesinato de Roger Ackroyd,Agatha Christie,$15.500,img/el_asesinato_de_roger_ackroyd.png,Policiaco y Misterio,Disponible
Muerte en el Nilo,Agatha Christie,$14.000,img/muerte_en_el_nilo.png,Policiaco y Misterio,Disponible
Un cadáver en la biblioteca,Agatha Christie,$11.500,img/un_cadáver_en_la_biblioteca.png,Policiaco y Misterio,Disponible
El misterioso caso de Styles,Agatha Christie,$15.000,img/el_misterioso_caso_de_styles.png,Policiaco y Misterio,Disponible
Cinco cerditos,Agatha Christie,$13.000,img/cinco_cerditos.png,Policiaco y Misterio,Disponible
Maldad bajo el sol,Agatha Christie,$13.500,img/maldad_bajo_el_sol.png,Policiaco y Misterio,Disponible
La ratonera,Agatha Christie,$15.000,img/la_ratonera.png,Policiaco y Misterio,Disponible
El misterio de la guía de ferrocarriles,Agatha Christie,$12.500,img/el_misterio_de_la_guía_de_ferrocarriles.png,Policiaco y Misterio,Disponible
Cita con la muerte,Agatha Christie,$11.500,img/cita_con_la_muerte.png,Policiaco y Misterio,Disponible
Telón,Agatha Christie,$13.000,img/telón.png,Policiaco y Misterio,Disponible
La sombra del viento,Carlos Ruiz Zafón,$14.000,img/la_sombra_del_viento.png,Ficción Contemporánea,Disponible
El juego del ángel,Carlos Ruiz Zafón,$13.000,img/el_juego_del_ángel.png,Ficción Contemporánea,Disponible
El prisionero del cielo,Carlos Ruiz Zafón,$15.000,img/el_prisionero_del_cielo.png,Ficción Contemporánea,Disponible
El laberinto de los espíritus,Carlos Ruiz Zafón,$16.000,img/el_laberinto_de_los_espíritus.png,Ficción Contemporánea,Disponible
Marina,Carlos Ruiz Zafón,$13.500,img/marina.png,Ficción Contemporánea,Disponible
El palacio de la medianoche,Carlos Ruiz Zafón,$12.500,img/el_palacio_de_la_medianoche.png,Ficción Contemporánea,Disponible
Crimen y castigo,Fiódor Dostoyevski,$15.000,img/crimen_y_castigo.png,Literatura Clásica,Disponible
Los hermanos Karamázov,Fiódor Dostoyevski,$17.500,img/los_hermanos_karamázov.png,Literatura Clásica,Disponible
El idiota,Fiódor Dostoyevski,$13.500,img/el_idiota.png,Literatura Clásica,Disponible
Noches blancas,Fiódor Dostoyevski,$13.500,img/noches_blancas.png,Literatura Clásica,Disponible
Memorias del subsuelo,Fiódor Dostoyevski,$14.000,img/memorias_del_subsuelo.png,Literatura Clásica,Disponible
Los demonios,Fiódor Dostoyevski,$16.000,img/los_demonios.png,Literatura Clásica,Disponible
El jugador,Fiódor Dostoyevski,$13.500,img/el_jugador.png,Literatura Clásica,Disponible
Humillados y ofendidos,Fiódor Dostoyevski,$11.500,img/humillados_y_ofendidos.png,Literatura Clásica,Disponible
Anna Karénina,León Tolstói,$14.500,img/anna_karénina.png,Literatura Clásica,Disponible
Guerra y paz,León Tolstói,$14.500,img/guerra_y_paz.png,Literatura Clásica,Disponible
La muerte de Iván Ilich,León Tolstói,$14.000,img/la_muerte_de_iván_ilich.png,Literatura Clásica,Disponible
Resurrección,León Tolstói,$10.000,img/resurrección.png,Literatura Clásica,Disponible
La sonata a Kreutzer,León Tolstói,$14.000,img/la_sonata_a_kreutzer.png,Literatura Clásica,Disponible
Hadji Murat,León Tolstói,$10.500,img/hadji_murat.png,Literatura Clásica,Disponible
La metamorfosis,Franz Kafka,$12.000,img/la_metamorfosis.png,Literatura Clásica,Disponible
El proceso,Franz Kafka,$15.000,img/el_proceso.png,Literatura Clásica,Disponible
El castillo,Franz Kafka,$12.000,img/el_castillo.png,Literatura Clásica,Disponible
Carta al padre,Franz Kafka,$14.500,img/carta_al_padre.png,Literatura Clásica,Disponible
América (El desaparecido),Franz Kafka,$14.500,img/américa_(el_desaparecido).png,Literatura Clásica,Disponible
La condena y otros relatos,Franz Kafka,$14.500,img/la_condena_y_otros_relatos.png,Literatura Clásica,Disponible
El extranjero,Albert Camus,$17.500,img/el_extranjero.png,Literatura Clásica,Disponible
La peste,Albert Camus,$17.000,img/la_peste.png,Literatura Clásica,Disponible
El mito de Sísifo,Albert Camus,$13.000,img/el_mito_de_sísifo.png,Ensayo y Filosofía,Disponible
La caída,Albert Camus,$12.500,img/la_caída.png,Literatura Clásica,Disponible
El primer hombre,Albert Camus,$11.000,img/el_primer_hombre.png,Literatura Clásica,Disponible
El retrato de Dorian Gray,Oscar Wilde,$11.500,img/el_retrato_de_dorian_gray.png,Literatura Clásica,Disponible
El fantasma de Canterville,Oscar Wilde,$13.000,img/el_fantasma_de_canterville.png,Cuento y Relato,Disponible
De profundis,Oscar Wilde,$15.500,img/de_profundis.png,Cuento y Relato,Disponible
La importancia de llamarse Ernesto,Oscar Wilde,$15.500,img/la_importancia_de_llamarse_ernesto.png,Literatura Clásica,Disponible
El príncipe feliz y otros cuentos,Oscar Wilde,$14.000,img/el_príncipe_feliz_y_otros_cuentos.png,Literatura Infantil,Disponible
El Principito,Antoine de Saint-Exupéry,$13.500,img/el_principito.png,Literatura Infantil,Disponible
Vuelo nocturno,Antoine de Saint-Exupéry,$13.000,img/vuelo_nocturno.png,Literatura Clásica,Disponible
Tierra de hombres,Antoine de Saint-Exupéry,$14.000,img/tierra_de_hombres.png,Literatura Clásica,Disponible
Orgullo y prejuicio,Jane Austen,$13.000,img/orgullo_y_prejuicio.png,Literatura Clásica,Disponible
Sentido y sensibilidad,Jane Austen,$12.500,img/sentido_y_sensibilidad.png,Literatura Clásica,Disponible
Emma,Jane Austen,$16.000,img/emma.png,Literatura Clásica,Disponible
Persuasión,Jane Austen,$15.000,img/persuasión.png,Literatura Clásica,Disponible
Mansfield Park,Jane Austen,$13.500,img/mansfield_park.png,Literatura Clásica,Disponible
La abadía de Northanger,Jane Austen,$10.000,img/la_abadía_de_northanger.png,Literatura Clásica,Disponible
Grandes esperanzas,Charles Dickens,$13.500,img/grandes_esperanzas.png,Literatura Clásica,Disponible
Oliver Twist,Charles Dickens,$13.500,img/oliver_twist.png,Literatura Clásica,Disponible
Historia de dos ciudades,Charles Dickens,$12.500,img/historia_de_dos_ciudades.png,Literatura Clásica,Disponible
David Copperfield,Charles Dickens,$13.000,img/david_copperfield.png,Literatura Clásica,Disponible
Cuento de Navidad,Charles Dickens,$13.500,img/cuento_de_navidad.png,Literatura Clásica,Disponible
Casa desolada,Charles Dickens,$11.000,img/casa_desolada.png,Literatura Clásica,Disponible
Tiempos difíciles,Charles Dickens,$16.500,img/tiempos_difíciles.png,Literatura Clásica,Disponible
Las aventuras de Tom Sawyer,Mark Twain,$11.500,img/las_aventuras_de_tom_sawyer.png,Aventura y Juvenil,Disponible
Las aventuras de Huckleberry Finn,Mark Twain,$14.000,img/las_aventuras_de_huckleberry_finn.png,Aventura y Juvenil,Disponible
Un yanqui en la corte del Rey Arturo,Mark Twain,$11.500,img/un_yanqui_en_la_corte_del_rey_arturo.png,Aventura y Juvenil,Disponible
El príncipe y el mendigo,Mark Twain,$13.000,img/el_príncipe_y_el_mendigo.png,Aventura y Juvenil,Disponible
Don Quijote de la Mancha I,Miguel de Cervantes,$13.500,img/don_quijote_de_la_mancha_i.png,Literatura Clásica,Disponible
Don Quijote de la Mancha II,Miguel de Cervantes,$15.500,img/don_quijote_de_la_mancha_ii.png,Literatura Clásica,Disponible
Novelas ejemplares,Miguel de Cervantes,$13.500,img/novelas_ejemplares.png,Literatura Clásica,Disponible
Los miserables,Victor Hugo,$13.500,img/los_miserables.png,Literatura Clásica,Disponible
Nuestra Señora de París,Victor Hugo,$12.000,img/nuestra_señora_de_parís.png,Literatura Clásica,Disponible
El hombre que ríe,Victor Hugo,$12.000,img/el_hombre_que_ríe.png,Literatura Clásica,Disponible
Los trabajadores del mar,Victor Hugo,$15.000,img/los_trabajadores_del_mar.png,Literatura Clásica,Disponible
El lobo estepario,Hermann Hesse,$10.500,img/el_lobo_estepario.png,Literatura Clásica,Disponible
Siddhartha,Hermann Hesse,$15.500,img/siddhartha.png,Literatura Clásica,Disponible
Demian,Hermann Hesse,$15.000,img/demian.png,Literatura Clásica,Disponible
Narciso y Goldmundo,Hermann Hesse,$16.500,img/narciso_y_goldmundo.png,Literatura Clásica,Disponible
El juego de los abalorios,Hermann Hesse,$16.500,img/el_juego_de_los_abalorios.png,Literatura Clásica,Disponible
Bajo las ruedas,Hermann Hesse,$14.000,img/bajo_las_ruedas.png,Literatura Clásica,Disponible
Bodas de sangre,Federico García Lorca,$14.000,img/bodas_de_sangre.png,Poesía y Teatro,Disponible
La casa de Bernarda Alba,Federico García Lorca,$13.000,img/la_casa_de_bernarda_alba.png,Poesía y Teatro,Disponible
Romancero gitano,Federico García Lorca,$14.500,img/romancero_gitano.png,Poesía y Teatro,Disponible
Poeta en Nueva York,Federico García Lorca,$11.500,img/poeta_en_nueva_york.png,Poesía y Teatro,Disponible
La tregua,Mario Benedetti,$16.000,img/la_tregua.png,Literatura Hispana,Disponible
Gracias por el fuego,Mario Benedetti,$17.000,img/gracias_por_el_fuego.png,Literatura Hispana,Disponible
El túnel,Ernesto Sabato,$14.000,img/el_túnel.png,Literatura Hispana,Disponible
Sobre héroes y tumbas,Ernesto Sabato,$15.000,img/sobre_héroes_y_tumbas.png,Literatura Hispana,Disponible
Abaddón el exterminador,Ernesto Sabato,$16.000,img/abaddón_el_exterminador.png,Literatura Hispana,Disponible
Poemas de amor,Mario Benedetti,$12.000,img/poemas_de_amor.png,Poesía,Disponible
Tokio blues (Norwegian Wood),Haruki Murakami,$13.000,img/tokio_blues_(norwegian_wood).png,Ficción Contemporánea,Disponible
Kafka en la orilla,Haruki Murakami,$13.500,img/kafka_en_la_orilla.png,Ficción Contemporánea,Disponible
1Q84 (Libro 1),Haruki Murakami,$15.000,img/1q84_(libro_1).png,Ficción Contemporánea,Disponible
1Q84 (Libro 2),Haruki Murakami,$14.500,img/1q84_(libro_2).png,Ficción Contemporánea,Disponible
1Q84 (Libro 3),Haruki Murakami,$15.500,img/1q84_(libro_3).png,Ficción Contemporánea,Disponible
Crónica del pájaro que da cuerda al mundo,Haruki Murakami,$13.000,img/crónica_del_pájaro_que_da_cuerda_al_mundo.png,Ficción Contemporánea,Disponible
Los años de peregrinación del chico sin color,Haruki Murakami,$17.000,img/los_años_de_peregrinación_del_chico_sin_color.png,Ficción Contemporánea,Disponible
De qué hablo cuando hablo de correr,Haruki Murakami,$14.500,img/de_qué_hablo_cuando_hablo_de_correr.png,Ficción Contemporánea,Disponible
Los pilares de la Tierra,Ken Follett,$12.000,img/los_pilares_de_la_tierra.png,Ficción Histórica,Disponible
Un mundo sin fin,Ken Follett,$18.000,img/un_mundo_sin_fin.png,Ficción Histórica,Disponible
La caída de los gigantes,Ken Follett,$12.000,img/la_caída_de_los_gigantes.png,Ficción Histórica,Disponible
El invierno del mundo,Ken Follett,$11.500,img/el_invierno_del_mundo.png,Ficción Histórica,Disponible
El umbral de la eternidad,Ken Follett,$14.000,img/el_umbral_de_la_eternidad.png,Ficción Histórica,Disponible
Las tinieblas y el alba,Ken Follett,$17.000,img/las_tinieblas_y_el_alba.png,Ficción Histórica,Disponible
Los hombres que no amaban a las mujeres,Stieg Larsson,$15.000,img/los_hombres_que_no_amaban_a_las_mujeres.png,Misterio y Thriller,Disponible
La chica que soñaba con una cerilla y un bidón de gasolina,Stieg Larsson,$15.500,img/la_chica_que_soñaba_con_una_cerilla_y_un_bidón_de_gasolina.png,Misterio y Thriller,Disponible
La reina en el palacio de las corrientes de aire,Stieg Larsson,$10.000,img/la_reina_en_el_palacio_de_las_corrientes_de_aire.png,Misterio y Thriller,Disponible
Lo que no te mata te hace más fuerte,David Lagercrantz,$14.500,img/lo_que_no_te_mata_te_hace_más_fuerte.png,Misterio y Thriller,Disponible
Los Juegos del Hambre,Suzanne Collins,$15.500,img/los_juegos_del_hambre.png,Juvenil Distópica,Disponible
En llamas,Suzanne Collins,$14.000,img/en_llamas.png,Juvenil Distópica,Disponible
Sinsajo,Suzanne Collins,$12.000,img/sinsajo.png,Juvenil Distópica,Disponible
Balada de pájaros cantores y serpientes,Suzanne Collins,$12.000,img/balada_de_pájaros_cantores_y_serpientes.png,Juvenil Distópica,Disponible
Cometas en el cielo,Khaled Hosseini,$14.000,img/cometas_en_el_cielo.png,Ficción Contemporánea,Disponible
Mil soles espléndidos,Khaled Hosseini,$12.500,img/mil_soles_espléndidos.png,Ficción Contemporánea,Disponible
Y las montañas hablaron,Khaled Hosseini,$15.500,img/y_las_montañas_hablaron.png,Ficción Contemporánea,Disponible
Bajo la misma estrella,John Green,$15.000,img/bajo_la_misma_estrella.png,Juvenil Romántica,Disponible
Ciudades de papel,John Green,$14.500,img/ciudades_de_papel.png,Juvenil Romántica,Disponible
Buscando a Alaska,John Green,$15.500,img/buscando_a_alaska.png,Juvenil Romántica,Disponible
Tortuga hasta abajo,John Green,$12.000,img/tortuga_hasta_abajo.png,Juvenil Romántica,Disponible
Divergente,Veronica Roth,$15.500,img/divergente.png,Juvenil Distópica,Disponible
Insurgente,Veronica Roth,$13.500,img/insurgente.png,Juvenil Distópica,Disponible
Leal,Veronica Roth,$10.000,img/leal.png,Juvenil Distópica,Disponible
Cuatro,Veronica Roth,$14.500,img/cuatro.png,Juvenil Distópica,Disponible
Crepúsculo,Stephenie Meyer,$14.000,img/crepúsculo.png,Fantasía Juvenil,Disponible
Luna nueva,Stephenie Meyer,$13.000,img/luna_nueva.png,Fantasía Juvenil,Disponible
Eclipse,Stephenie Meyer,$15.500,img/eclipse.png,Fantasía Juvenil,Disponible
Amanecer,Stephenie Meyer,$13.000,img/amanecer.png,Fantasía Juvenil,Disponible
Sol de medianoche,Stephenie Meyer,$15.000,img/sol_de_medianoche.png,Fantasía Juvenil,Disponible
Percy Jackson y el ladrón del rayo,Rick Riordan,$13.000,img/percy_jackson_y_el_ladrón_del_rayo.png,Fantasía Juvenil,Disponible
Percy Jackson y el mar de los monstruos,Rick Riordan,$18.000,img/percy_jackson_y_el_mar_de_los_monstruos.png,Fantasía Juvenil,Disponible
